link,posted_by,location,caption,hashtags
https://www.instagram.com/p/CZi34L4PiUL/,,,,"['#cricketer', '#cricket', '#ipl', '#viratkohli', '#msdhoni', '#rohitsharma', '#cricketfans', '#cricketlovers', '#cricketlife', '#cricketlover', '#cricketmerijaan', '#indiancricket', '#icc', '#indiancricketteam', '#cricketlove', '#cricketfever', '#lovecricket', '#india']"
https://www.instagram.com/p/CZjIGX9PsT9/,,,,"['#icc', '#runmachine', '#indiancricketteam', '#indiancricket', '#cricketfans', '#lovecricket', '#teamindia', '#iccwards', '#cricket', '#cricketlovers', '#rcb', '#cricketmerijaan', '#worldcup', '#viratkohli', '#virat', '#kohli', '#viratism', '#kohliism', '#rohirat', '#rohitsharma', '#viratians', '#rohitians', '#cricket', '#icc', '#bcci', '#instagram', '#dominance', '#kingkohli', '#mahirat', '#kingkohli', '#kbye']"
https://www.instagram.com/p/CZjSuRZPr0T/,,,,"['#viratkohli', '#kingkohli', '#icc', '#indiancricketteam', '#rcb', '#bcci', '#cricket', '#instagram', '#abdevilliers', '#mahirat', '#rohirat', '#teamindia', '#royalchallengersbangalore', '#ipl', '#ipl2021', '#viratism', '#kohlism', '#viratians', '#rcbians', '#worldcup', '#t20', '#odi', '#testcricket', '#virat', '#vk', '#rohitsharma', '#kohli', '#runmachine', '#cricketer', '#cricketfans']"
https://www.instagram.com/p/CZjWX14PxXS/,,,,"['#mahendrasinghdhoni', '#msdhonifansofficial', '#msdhonitheuntoldstory', '#chennaisuperkings', '#whistlepodu🦁💛', '#whistlepodu', '#captaindhoni', '#captaincool', '#cricket', '#cricketlovers', '#cricketmerijaan', '#thankyoudhoni', '#throwback', '#thaladhoni', '#thala', '#msdiansforever', '#msdians', '#cskfans', '#ipl2021', '#dhoniforever', '#dhoni', '#mahi7781', '#viratkohli', '#klrahul', '#rohitsharma', '#msdhoni7781', '#msdhoni']"
https://www.instagram.com/p/CZj9yJev8SU/,,,,"['#ritssajdeh', '#rohitsharma', '#viratkohli', '#abdevilliers', '#Rohit', '#indiacricket', '#cricketindia', '#IndianCricketTeam', '#lndianCricket', '#cricketlatestnews', '#cricketnews', '#loveforcricket', '#cricketlove', '#Cricketlover', '#Cricketworld', '#Runmachine', '#Cricket', '#Cricketfans', '#bleedblue', '#msdians', '#respectinsport', '#indiancricket', '#teamindia', '#rohitsharmafanclub', '#indvban', '#banvind', '#justforfun']"
https://www.instagram.com/p/CZjAkJLpiHZ/,,,,"['#babarazam', '#rizwan', '#psl7', '#levelhai', '#pakistansuperleague', '#psl', '#babar', '#cricket', '#t20worldcup', '#cricketmemes', '#trendingcricket', '#cricketlover', '#pakistancricket', '#pakistancricketteam', '#sarfrazahmed', '#pakistan', '#shoaibmalik', '#muhammadrizwan', '#karachikings', '#lahoreqalandars', '#cricketupdate', '#psl2022', '#pakvsind', '#cricketgram', '#cricketwireless', '#cricketnews', '#cricketfans', '#cricketgram', '#cricketmerijan', '#cricfolks']"
https://www.instagram.com/p/CZjjxhxNYfT/,,,,"['#cricket', '#iplt20', '#kxip', '#csk', '#delhicapitals', '#mumbaiindians', '#rcb', '#royalchallengersbangalore', '#sunrisershyderabad', '#rajasthanroyals', '#srh', '#kolkataknightriders', '#kkr', '#ipl', '#chennaisuperkings', '#punjabkings', '#ViratKohli', '#rohitsharma', '#msdhoni', '#klrahul', '#jaspritbumrah', '#abdevilliers', '#Ipl2021', '#rishabhpant', '#pbks', '#sureshraina', '#sanjusamson', '#u19worldcup', '#u19worldcup']"
https://www.instagram.com/p/CZivs4xrD3_/,,,,"['#indvswi', '#️⃣', '#rohit', '#rohitsharma', '#ipl', '#viratkohli', '#cricket', '#hitman', '#indiancricket', '#virat', '#msdhoni', '#mumbaiindians', '#dhoni', '#rohitians', '#india', '#indiancricketteam', '#bleedblue', '#msdians', '#klrahul', '#teamindia', '#sachintendulkar', '#mikulibu', '#hardikpandya', '#kohli', '#cricketmerijaan', '#mi', '#onefamily', '#viratians', '#rohitsharmafanclub', '#tnrfc']"
https://www.instagram.com/p/CZjXmrfPgbM/,,,,"['#Cricket', '#Cricketvideos', '#Cricketmemes', '#Cricketlive', '#Cricketnews', '#cricketupdate', '#iplupdate', '#ipl14', '#Vivoipl', '#Dream11', '#ipl', '#iplnews', '#iplmemes', '#cricketscore', '#Crickethighlights', '#cricketvideos', '#cricketlive', '#Msdhoni', '#Rohitsharma', '#Viratkohli', '#Abdevilliers', '#jaspritbumrah', '#hardikpandya', '#Rishabhpant', '#Klrahul', '#Yuzvendrachahal', '#Ipl2021', '#Iplauction', '#Smritimandhana']"
https://www.instagram.com/p/CZkFtQHhg8D/,,,,"['#generalknowledge', '#study', '#language', '#motivational', '#civilservices', '#india', '#quotes', '#life', '#fact', '#science', '#instadaily', '#maths', '#gk', '#picoftheday', '#sarkarinaukri', '#cricket', '#dailylook', '#currentnews', '#knowledgeofself', '#gkindia', '#studymotivation', '#english', '#hindi', '#synonyms', '#antonyms', '#ielts', '#cgl', '#lernenglish', '#english', '#funnyvideos']"
