link,link_status,parent_link,title,text
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,True,,cryptostorm,"
 
 
 
 cryptostorm 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Toggle navigation 
 
 
 
 
 cryptostorm 
 
 
 
 who 
 privacy 
 security 
 benefits 
 locations 
 buy 
 connect 
 contact 
 faq 
 blog 
 
 
 
 
 sitemap 
 
 
 
 
 
 
 
 cryptostorm 
 The VPN service provider for the truly paranoid 
 This website is also available as a  Tor hidden service  at stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion and the  I2P eepsite  at  cs.i2p 
 
 
 
 
 
 
 Privacy 
 Keep your online activities private 
 
 
 
 
 
 
 
 Security 
 Protect your internet traffic at public WiFi hotspots or from ISP/government surveillance 
 
 
 
 
 
 
 
 Benefits 
 More unique features than any other VPN provider 
 
 
 
 
 
 
 
 
 
 
 
 
 PRIVACY 
 ""Arguing that you don't care about the right to privacy because you have nothing to hide is no different than saying you don't care about free speech because you have nothing to say."" - Edward Snowden 
 
 
 
 Bare metal servers 
 dedicated servers only 
 
 
 No logs 
 Our VPN servers never save data that can be used to identify a customer. 
 
 
 Chaining supported 
 Don't trust that we're not logging? Use  multihop  to connect to another VPN (or Tor) before you connect to us. 
 
 
 
 
 
 
 Open source 
 no proprietary code 
 
 
 All server-side configs are public 
 Available for review  here . 
 
 
 Security through transparency 
 (too many) details on how the network operates available on  our blog  and on our privacy policy page . 
 
 
 
 
 
 
 Token-based  network access 
 anonymous authentication 
 
 
 Hashed tokens 
 Access tokens are hashed before connecting. Compromised/confiscated servers can't be used to identify clients. 
 
 
 
 
 
 
 Decentralized organization 
 roots in Iceland, entities worldwide 
 
 
 Financials in several regions 
 No central office, anywhere. 
 
 
 
 
 
 
 
 
 
 
 
 SECURITY 
 Someone wearing a tin-foil hat might say we're too paranoid 
 
 
 
 OpenVPN  ECC 
 
 
 Ed25519 ,  Ed448 , and  secp521r1  instances 
 521-bit  EC  (~15360-bit  RSA ) 
 TLSv1.3  supported 
 AEAD  authentication 
 256-bit  AES  or  ChaCha20 - Poly1305 
										Resistant to  quantum attacks 
 
 
 
 
 
 
 OpenVPN  RSA 
 
 
										Our least secure option is stronger than most VPN provider's strongest option
										 8192-bit  RSA   server certificate 
 521-bit  EC  (~15360-bit  RSA )  CA 
 8192-bit  DH  params 
 256-bit  AES  or  ChaCha20 - Poly1305 
										Safe from  padding oracle  attacks
									 
 
 
 
 
 
 WireGuard 
 
 
 ChaCha20  for symmetric encryption, authenticated with  Poly1305 , using  RFC7539's AEAD construction 
 Curve25519  for ECDH 
 BLAKE2s  for hashing and keyed hashing, described in  RFC7693 
 SipHash24  for hashtable keys 
 HKDF  for key derivation, as described in  RFC5869 
 
 
 
 
 
 
 Customized systems 
 
 
 grsecurity   linux-hardened  kernels 
 exploit mitigation 
 hardened  against  heap  corruption 
 Principle of least privilege  practiced 
 Mandatory access control 
 Privilege seperation 
 Integrity verified 
 tripwire  used to prevent backdoors 
 Disposable servers 
 Secure PKI management 
 Confiscating one server won't compromise the rest 
 
 
 
 
 
 
 
 
 
 
 
 BENEFITS 
 Features you won't find anywhere else 
 
 
 
 DeepDNS system 
 protecting clients before they connect 
 
 
 encrypted DNS servers 
 Chain DNS traffic with  Anonymized DNS 
 
 
 DNSCrypt v2 
 Public DNSCrypt servers for encrypting your DNS traffic before you connect 
 
 
 Transparent  .onion / .i2p  access 
 Direct access to darknets 
 
 
 
 
 
 
 Anti-leak protection 
 keeping your real IP safe 
 
 
 DNS/WebRTC leak protection 
 Stops IP leaks 
 
 
 DNS-based ad/tracker blocking 
 Prevents malicious trackers from working 
 
 
 Kill switch  included 
 Many different killswitches available to prevents leaks if disconnected 
 
 
 
 
 
 
 Flexible connection options 
 bypass restrictive firewalls 
 
 
 SSH / HTTPS  tunneling 
 Make your traffic look like  SSH  or  HTTPS 
 
 
 Connect on any port 
 UDP or TCP (1-29999) 
 
 
 BitTorrent allowed 
 Port forwarding  supported Safe from the  Port Fail  vulnerability 
 
 
 
 
 
 
 Unlimited bandwidth 
 unrestricted access 
 
 
 No data caps, no throttling 
 (not even on our  free service ) 
 
 
 Redundant  load balancing 
 Minimizes downtime 
 
 
 
 
 
 
 
 
 
 
 
 
 Server locations 
 cryptostorm.is/uptime   for the detailed list 
 
 
 
 
 
 
 
 
 BUY NOW 
 Can't afford to buy now? Try out our free service:  Cryptofree 
							The ""devices"" number below would be the maximum number of devices allowed to connect  at the same time . 
						 	If you need to connect more devices, buy more tokens, or buy ones that allow more devices, or  setup your router  to use cryptostorm. 
 
 
 
 
 credit cardâ PayPal 
 friendly pricing, quick access 
 
 
 
 
 
 
 recurring subscriptions USD 
 
 yearly  - $52 (4 devices) 
 monthly - $6 (1 device) 
 weekly - $1.86 (1 device) 
 
 
 
 PAYPAL  SUBSCRIBE 
 
 
 
 PAYPAL  UNSUBSCRIBE 
 
 
 
 
 
 single order USD (non-recurring) 
 
 one week - $1.86 (1 device) 
 one month - $6 (1 device) 
 three months - $16 (2 devices) 
 six months - $28 (3 devices) 
 one year - $52 (4 devices) 
 two years - $94 (5 devices) 
 5x 1-month bundle - $24 
 11x 1-month bundle - $48 
 25x 1-month bundle - $97 
 lifetime - $500 (6 devices) 
 
 
 
 PAYPAL  ORDER 
 
 
 
 
 
 
 
 credit cardâ CCBill 
 supports most prepaid cards 
 
 You must  enable JavaScript  in your web browser to pay via CCBill. 
 
 
 single order USD (non-recurring) 
 
 
 
 one month - $6 (1 device) 
 three months - $16 (2 devices) 
 six months - $28 (3 devices) 
 one year - $52 (4 devices) 
 
 
 CCBILL  ORDER 
 
 
 
 
 
 
 
 Bitcoinâ BitPay 
 pay with Bitcoin 
 
 
 
 
 one month - $6 (1 device) 
 three months - $16 (2 devices) 
 six months - $28 (3 devices) 
 one year - $52 (4 devices) 
 two years - $94 (5 devices) 
 5x 1-month bundle - $24 
 11x 1-month bundle - $48 
 25x 1-month bundle - $97 
 lifetime - $500 (6 devices) 
 
 
 
 BITCOIN  ORDER 
 
 
 
 Bitpay order 
 Email address: 
   SUBMIT &nbsp 
 Enter your email address to receive your token via email. 
  I don't want my token emailed to me 
 
 
 
 
 
 You must  enable JavaScript  in your web browser to pay with Bitcoin. 
 
 
 
 
 
 
 altcoinsâ CoinPayments 
 support for other popular coins 
 
 
 
 over 100 cryptocurrencies supported. 
 
 three months - $16 (2 devices) 
 six months - $28 (3 devices) 
 one year - $52 (4 devices) 
 two years - $94 (5 devices) 
 5x 1-month bundle - $24 
 11x 1-month bundle - $48 
 25x 1-month bundle - $97 
 lifetime - $500 (6 devices) 
 
 
 ALTCOIN  ORDER 
 
 
 
 CoinPayments order 
 
 On the next page, the first and last name can be left as 'N/A', but the email address has to be real. 
													Your cryptostorm access token will be delivered to the email address you provide. 
													If you don't want to use your real email address, use a disposable email service such as our  https://cs.email/ 
													(no signup required) 
   I understand &nbsp 
 
 
 
 
 
 You must  enable JavaScript  in your web browser to pay with altcoins. 
 
 
 
 
 
 
 
 
 
 
 
 CONNECT TO CRYPTOSTORM 
 We use OpenVPN, so  if they support your OS , then so do we. We also support  WireGuard . 
 
 
 
 
 
 Windows 
 
 
 Be sure to also check out our  blog 
 
 
   token hasher   
 
 
 
 
 
 
 
 
 Mac 
 
 
 
 
 iOS 
 
 
 
 
 
 
 
 
 
 Linux 
 
 
 
 
 Android 
 
 
 
 
 Routers 
 
 
 
 
 
 
 
 
  SHA512 Calculator 
 Token: 
   Calculate!   
 Hash:   
 
 Uses  jsSHA 1.3  by Brian Turek ( jssha.sourceforge.net ). 
 Take the above result from the Hash field and use it as  username  in your OpenVPN window. Password can be left blank. 
 This calculates your token's hash client side (using Javascript in your fave browser) so—in theory—your token will never get 'on the wires' and thus will never be seen by others. 
 This obviously requires Javascript (which is sort of the point as it keeps things on your PC as opposed to out on the wires where the NSA or whoever can scrape them off of the interwebs) so if you're using Noscript or have Javascript turned off you're pretty much better off using other methods for getting your hash. Sorry. 
 
 
 
 
 
 
 
 
 
 
 
 
 SOCIAL MEDIA 
 
 
 
 
 
 
 
 
 
 
 
 
 EMAIL 
 
 
 
 info cryptostorm.is 
 
 
 
 support cryptostorm.is 
 
 
 
 fermi cryptostorm.is 
 
 
 
 df cryptostorm.is 
 
 
 
 
 
 
 
 
 
 translations  | 
									        refund policy  |
                                                                                privacy policy  |
                                                                                terms of service 
 
 
 
 
 sitemap  |  live chat  |  token verify  |  warrant canary 
 
 
   
   
 
 
 
 
 
"
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion#section1,False,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,,
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion#section2,False,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,,
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion#section3,False,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,,
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion#section4,False,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,,
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion#smap,False,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,,
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion#section5,False,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,,
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion#section7,False,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,,
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion#section6,False,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,,
http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion/faq,False,http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion,,
